Trimestre,Categoria,Tipo,Evento,DataInicio,DataFim,Cor,Subtipo,Bloco-Contrato
Trim 1,Governança,,GRBLOC,2024-02-29 00:00:00,,666666,Governança,ARAM-Aram_P6
Trim 1,Governança,,GRT,2024-02-06 00:00:00,,666666,Governança,ARAM-Aram_P6
Trim 1,Licenciamento Ambiental,, Arquivamento/Indeferimento de Processo,2021-03-01 00:00:00,,666666,_PERFURAÇÃO POT-M-762,POT-M-762-POT-M-762_R15
Trim 1,Licenciamento Ambiental,, Emissão da 1ª LO,2025-01-22 00:00:00,,666666,PERFURAÇÃO FZA-M-59,FZA-M-59-FZA-M-59_R11
Trim 1,Licenciamento Ambiental,, Emissão da 1ª LO,2028-01-11 00:00:00,,666666,PERFURAÇÃO BM-BAR-1 2022,1-MAS-36-BM-BAR-1
Trim 1,Licenciamento Ambiental,, Emissão da 1ª LO,2028-01-11 00:00:00,,666666,PERFURAÇÃO BM-BAR-1 2022,BM-BAR-1-BM-BAR-1
Trim 1,Licenciamento Ambiental,, Protocolo de abertura do processo,2020-02-28 00:00:00,,666666,PERFURAÇÃO POT-M-859,POT-M-859-POT-M-859_R15
Trim 1,Licenciamento Ambiental,, Protocolo de Estudo Ambiental,2010-02-24 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-663-BM-POT-16
Trim 1,Licenciamento Ambiental,, Protocolo de Estudo Ambiental,2010-02-24 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-665-BM-POT-17
Trim 1,Licenciamento Ambiental,, Protocolo de Estudo Ambiental,2010-02-24 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-760-BM-POT-16
Trim 1,Licenciamento Ambiental,, Protocolo de Estudo Ambiental,2010-02-24 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-853-BM-POT-17
Trim 1,Licenciamento Ambiental,, Protocolo de Estudo Ambiental,2010-02-24 00:00:00,,666666,PERFURAÇÃO BM-POT-16 e 17,POT-M-855-BM-POT-17
Trim 1,Licenciamento Ambiental,, Protocolo de Estudo Ambiental,2015-03-31 00:00:00,,666666,PERFURAÇÃO FZA-M-59,FZA-M-59-FZA-M-59_R11
Trim 1,Licenciamento Ambiental,, Publicação do edital de convocações das APs/RPs,2020-01-13 00:00:00,,666666,PERFURAÇÃO BM-BAR-3 E BM-BAR-5,1-DEV-14A-MAS-BM-BAR-3
Trim 1,Licenciamento Ambiental,, Publicação do edital de convocações das APs/RPs,2020-01-13 00:00:00,,666666,PERFURAÇÃO BM-BAR-3 E BM-BAR-5,BAR-M-175-BM-BAR-5
Trim 1,Licenciamento Ambiental,, Publicação do edital de convocações das APs/RPs,2020-01-13 00:00:00,,666666,PERFURAÇÃO BM-BAR-3 E BM-BAR-5,BM-BAR-3-BM-BAR-3
Trim 1,Licenciamento Ambiental,, Publicação do edital de convocações das APs/RPs,2025-02-28 00:00:00,,666666,PERFURAÇÃO POT-M-952,POT-M-952-POT-M-952_R15
Trim 1,Licenciamento Ambiental,, Publicação do edital de convocações das APs/RPs,2026-03-06 00:00:00,,666666,PERFURAÇÃO BM-BAR-1 2022,1-MAS-36-BM-BAR-1
Trim 1,Licenciamento Ambiental,, Publicação do edital de convocações das APs/RPs,2026-03-06 00:00:00,,666666,PERFURAÇÃO BM-BAR-1 2022,BM-BAR-1-BM-BAR-1
